Full_Review,Label,Preprocessed_Review,Similarity
"Read the privacy policy on apps before you put your personal information in. They openly tell you how they collect your information and who they ""may"" share it with. You are putting your most valuable information into these budgeting apps and if you pay for a service you shouldn't have your information shared. They make money off ads and the $7.99/month you pay for the plus plan.",1,read privacy policy apps put personal information openly tell collect information may share putting valuable information budgeting apps pay service shouldnt information shared make money ad month pay plus plan,0.573162807
It is correct and very easy to get all my spending informations!,0,correct easy get spending information,0.341219415
Great information that's not too much to handle,0,great information thats much handle,0.292306677
"Why should I have to make an account? Too much BS. Just let me make a comprehensive list of expenses and bills and income. (Reply) I don't appreciate that at all. Not only is that just another point of possible security failure (a massive one if you ask me) when it comes to my important personal and private information that no third party has any business with, it's also an annoyance to me as I want full control over the information that goes into any budget app. I have since found exactly what I need from a different app.",1,make account much b let make comprehensive list expense bill income reply dont appreciate another point possible security failure massive one ask come important personal private information third party business also annoyance want full control information go budget app since found exactly need different app,0.28817614
PocketGuard is a fantastic app that I have used for several month. It is nice to see the majority of my financial information in one location.,0,pocketguard fantastic app used several month nice see majority financial information one location,0.245335882
I love the information all centralized in over location. Customer service fixed my issue quickly. Highly recommended by my financial advisor. Wish I started using this app years ago.,0,love information centralized location customer service fixed issue quickly highly recommended financial advisor wish started using app year ago,0.243058059
Lots of useful information. A great and better alternative to ClarityMoney,0,lot useful information great better alternative claritymoney,0.228034782
"how can i delete my account and email? i didnt link my bank yet, but i want to delete my email and not use this app and not have your company have my information.",0,delete account email didnt link bank yet want delete email use app company information,0.217959543
"I like it because of its simplicity to use. As other have mentioned, it could be a bit annoying at times when loading your data. It's been some 2 weeks for me and my bank information hasn't updated in pocket guard.",2,like simplicity use mentioned could bit annoying time loading data week bank information hasnt updated pocket guard,0.200899846
Customer service is very good even though this service is free,0,customer service good even though service free,0.198385695
Doesn't show current info on my bank account I might as well just go off my bank app I see no purpose to this if I can't get current information on my accounts,2,doesnt show current info bank account might well go bank app see purpose cant get current information account,0.190664449
